Benchmarks	system.cpu.icache.overall_miss_rate::total
speclibm_0	0.018460
speclibm_1	0.013373
speclibm_2	0.012571
speclibm_3	0.018527
speclibm_4	0.018529
speclibm_5	0.018530
speclibm_6	0.013373
speclibm_7	0.013373
speclibm_8	0.018531
speclibm_9	0.011052
speclibm_10	0.018531
speclibm_11	0.013370
speclibm_12	0.018531
speclibm_13	0.013373
speclibm_14	0.013373
speclibm_15	0.017292
speclibm_16	0.017267
speclibm_17	0.012599
speclibm_18	0.012600
speclibm_19	0.011061
speclibm_20	0.010607
speclibm_21	0.017271
speclibm_22	0.011061
speclibm_23	0.012761
speclibm_24	0.010607
speclibm_25	0.010607
speclibm_26	0.010607
speclibm_27	0.012571
speclibm_28	0.012571
speclibm_29	0.012571
speclibm_30	0.010520
speclibm_31	0.018527
speclibm_32	0.013373
speclibm_33	0.011061
speclibm_34	0.013373
speclibm_35	0.013373
speclibm_36	0.018527
speclibm_37	0.013373
speclibm_38	0.013527
speclibm_39	0.013527
speclibm_40	0.011112
speclibm_41	0.013527
speclibm_42	0.018459
speclibm_43	0.011112
speclibm_44	0.018509
speclibm_45	0.018529
speclibm_46	0.018529
speclibm_47	0.013372
speclibm_48	0.013372
speclibm_49	0.013372
speclibm_50	0.018529
speclibm_51	0.018459
speclibm_52	0.011042
speclibm_53	0.013373
speclibm_54	0.018530
speclibm_55	0.013373
speclibm_56	0.018530
speclibm_57	0.018530
speclibm_58	0.013373
speclibm_59	0.011052
speclibm_60	0.018531
speclibm_61	0.011052
speclibm_62	0.013373
speclibm_63	0.013373
speclibm_64	0.013373
speclibm_65	0.011052
speclibm_66	0.013373
speclibm_67	0.018531
speclibm_68	0.011052
speclibm_69	0.018531
speclibm_70	0.011052
speclibm_71	0.013373
speclibm_72	0.013373
speclibm_73	0.013373
speclibm_74	0.018531
speclibm_75	0.011108
speclibm_76	0.011108
speclibm_77	0.018523
speclibm_78	0.011108
speclibm_79	0.018523
speclibm_80	0.011108
speclibm_81	0.018523
speclibm_82	0.013533
speclibm_83	0.013373
speclibm_84	0.018526
speclibm_85	0.018531
speclibm_86	0.013373
speclibm_87	0.018531
speclibm_88	0.018531
speclibm_89	0.011051
speclibm_90	0.013373
speclibm_91	0.018531
speclibm_92	0.018531
speclibm_93	0.013373
speclibm_94	0.011052
speclibm_95	0.011052
speclibm_96	0.013373
speclibm_97	0.013373
speclibm_98	0.018531
speclibm_99	0.018531
speclibm_100	0.013373
speclibm_101	0.018531
speclibm_102	0.011052
speclibm_103	0.011052
speclibm_104	0.018531
speclibm_105	0.013373
speclibm_106	0.018531
speclibm_107	0.018531
speclibm_108	0.018531
speclibm_109	0.013373
speclibm_110	0.018531
speclibm_111	0.011052
speclibm_112	0.018531
speclibm_113	0.011052
speclibm_114	0.013373
speclibm_115	0.013370
speclibm_116	0.013373
speclibm_117	0.011052
speclibm_118	0.013370
speclibm_119	0.011052
speclibm_120	0.013373
speclibm_121	0.018531
speclibm_122	0.013373
speclibm_123	0.011052
speclibm_124	0.013373
speclibm_125	0.013373
speclibm_126	0.011052
speclibm_127	0.018531
speclibm_128	0.011052
speclibm_129	0.013373
speclibm_130	0.018531
speclibm_131	0.013373
speclibm_132	0.018531
speclibm_133	0.013373
speclibm_134	0.011052
speclibm_135	0.018531
speclibm_136	0.013373
speclibm_137	0.011052
speclibm_138	0.013373
speclibm_139	0.011052
speclibm_140	0.011060
speclibm_141	0.011052
speclibm_142	0.013373
speclibm_143	0.013373
speclibm_144	0.011052
speclibm_145	0.013373
speclibm_146	0.018531
speclibm_147	0.013373
speclibm_148	0.013370
speclibm_149	0.018531
speclibm_150	0.010684
speclibm_151	0.010684
speclibm_152	0.012823
speclibm_153	0.010674
speclibm_154	0.012823
speclibm_155	0.017292
speclibm_156	0.018525
speclibm_157	0.012823
speclibm_158	0.010615
speclibm_159	0.010615
speclibm_160	0.012598
speclibm_161	0.012598
speclibm_162	0.010615
speclibm_163	0.017267
speclibm_164	0.010615
speclibm_165	0.010626
speclibm_166	0.012599
speclibm_167	0.017266
speclibm_168	0.012599
speclibm_169	0.012599
speclibm_170	0.017266
speclibm_171	0.017266
speclibm_172	0.012599
speclibm_173	0.010607
speclibm_174	0.010607
speclibm_175	0.012599
speclibm_176	0.010607
speclibm_177	0.012599
speclibm_178	0.010607
speclibm_179	0.017266
